router_netgear_DGN3500	has_manufacturer	netgear
banner_c30e724a	indicates_device	router_asus_RT-AX88U
router_asus_RT-AC68U	has_model	RT-AC68U
banner_0682a3eb	indicates_device	router_TP-LINK_WR940N
router_asus_RT-AC68U	is_type	router
router_asus_TM-AC1900	has_manufacturer	asus
printer_sharp_Information	is_type	printer
router_asus_TUF-AX6000	has_model	TUF-AX6000
router_asus_RT-AX82U	is_type	router
router_asus_RT-AC66U_B1	is_type	router
router_TP-LINK_WR741ND	has_manufacturer	TP-LINK
router_netgear_C7000-100NAS	has_manufacturer	netgear
camera_axis_M7001	has_manufacturer	axis
router_netgear_WNR1000v3	has_manufacturer	netgear
router_asus_RT-AX3000	is_type	router
banner_11de96ca	indicates_device	camera_axis_P3719-PLE
router_netgear_DGN1000	is_type	router
router_netgear_WNR1000v3	is_type	router
router_netgear_WNR1000v3	has_model	WNR1000v3
router_TP-LINK_WR940N	has_manufacturer	TP-LINK
printer_sharp_Information	has_manufacturer	sharp
camera_axis_P5635-E	has_model	P5635-E
router_TP-LINK_WR740N	has_model	WR740N
printer_sharp_Information	has_manufacturer	sharp
banner_234d2540	indicates_device	printer_sharp_MX-M363N
router_netgear	is_type	router
router_asus_GT-AC5300	is_type	router
router_netgear_Orbi-mini	has_model	Orbi-mini
printer_sharp_Information	has_manufacturer	sharp
camera_axis_P5512	has_manufacturer	axis
router_TP-LINK_WR940N	is_type	router
router_TP-LINK_WR841N	has_model	WR841N
router_asus_RT-AX82U	is_type	router
router_asus_RT-AC68U	has_model	RT-AC68U
banner_9d2756e0	indicates_device	router_asus_RT-N18U
printer_sharp_Information	is_type	printer
printer_sharp_Information	is_type	printer
router_asus_TUF-AX5400	has_model	TUF-AX5400
router_asus_4G-AC55U	has_manufacturer	asus
router_netgear_JWNR2010v5	has_model	JWNR2010v5
router_asus_RT-AX56U	has_manufacturer	asus
router_netgear_WNR2000v3	has_model	WNR2000v3
router_asus_RT-AC1300UHP	is_type	router
banner_32b57e6c	indicates_device	router_asus_RT-AX86U
router_asus_TUF-AX5400	has_manufacturer	asus
router_asus_RT-AC66U	has_model	RT-AC66U
router_netgear_WNR2000v5	has_model	WNR2000v5
router_TP-LINK_WR740N/WR741ND	has_model	WR740N/WR741ND
banner_37027884	indicates_device	router_asus_RT-AC88U
router_netgear_DGN1000	is_type	router
camera_axis_M1025	has_model	M1025
banner_f5915b48	indicates_device	camera_axis_P1447-LE
banner_85c4c4bb	indicates_device	router_netgear_WNR1000v3
router_asus_RT-AC51U	has_manufacturer	asus
router_asus_RT-AC86U	has_model	RT-AC86U
banner_743f6275	indicates_device	router_netgear_C3700-100NAS
router_TP-LINK_WR740N	is_type	router
router_netgear_Orbi	is_type	router
printer_sharp_Information	has_model	Information
camera_axis_216MFD	has_model	216MFD
router_asus_RT-AC68U	has_manufacturer	asus
printer_sharp_MX-M283N	has_manufacturer	sharp
router_asus_RT-AC1200HP	has_manufacturer	asus
router_asus_RT-AC66U_B1	has_model	RT-AC66U_B1
printer_sharp_MX-3600FN	has_model	MX-3600FN
router_asus_RT-AC68U	is_type	router
printer_sharp_Information	has_model	Information
router_netgear_DG834G	has_model	DG834G
router_netgear_Orbi	has_model	Orbi
router_asus_RT-AX88U	is_type	router
banner_fc05230f	indicates_device	router_netgear_DG834
router_asus_TUF-AX5400	has_manufacturer	asus
router_TP-LINK_WR741ND	has_manufacturer	TP-LINK
printer_sharp_Information	has_model	Information
router_netgear_WNR2000v5	has_manufacturer	netgear
router_netgear_WNR2000v3	is_type	router
router_netgear_DM111PSPv2	has_model	DM111PSPv2
router_asus_RT-AX88U	is_type	router
banner_32449345	indicates_device	router_TP-LINK_WR740N
camera_axis	has_manufacturer	axis
printer_sharp_MX-2640N	has_model	MX-2640N
router_TP-LINK_WDR3500	has_model	WDR3500
camera_axis_241S	has_manufacturer	axis
router_netgear_WNR2000v5	is_type	router
camera_axis_M3004	has_model	M3004
router_TP-LINK_WR841N/WR841ND	is_type	router
router_asus_RT-AC68U	is_type	router
router_TP-LINK_WR940N	is_type	router
printer_sharp_Information	has_manufacturer	sharp
banner_27baad6e	indicates_device	router_asus_RT-AC56U
router_TP-LINK_WR740N	is_type	router
router_netgear_WNR2000v5	has_manufacturer	netgear
printer_sharp_Information	is_type	printer
banner_5bb033b1	indicates_device	router_asus_GT-AX11000_Pro
router_TP-LINK_WR1043ND	has_model	WR1043ND
banner_950b2408	indicates_device	router_asus_GT-AX11000
router_asus_ZenWiFi_XT8	is_type	router
router_asus_RT-AX82U	is_type	router
camera_axis_Q7411	is_type	camera
router_asus_RT-AC1900P	has_manufacturer	asus
camera_axis_Q7401	is_type	camera
router_asus_RT-AC88U	has_manufacturer	asus
router_netgear_WNR2000v5	has_manufacturer	netgear
banner_cdefa26c	indicates_device	router_asus_RT-N66U
router_asus_RT-AX86U_Pro	is_type	router
printer_sharp_MX-2310U	has_manufacturer	sharp
router_asus_ZenWiFi_XT8	has_model	ZenWiFi_XT8
router_asus_RT-AC58U	has_manufacturer	asus
router_TP-LINK_WR841N	has_model	WR841N
camera_axis_Q6135-LE	has_model	Q6135-LE
camera_axis_P3354	has_manufacturer	axis
banner_b2721f05	indicates_device	router_asus_RT-AC3200
router_netgear_R6120	is_type	router
camera_axis_M7011	has_model	M7011
banner_37027884	indicates_device	router_asus_RT-AC88U
router_asus_RT-AC58U	has_model	RT-AC58U
